day_of_year,climatology_mean,climatology_std,years_observed,wind_speed_2026_daily_mean
1,1.7070382770007768,0.5431347613168472,5,2.411958333333333
2,3.2475291375291375,2.203073748811319,5,5.984611111111111
3,1.9207962024087024,1.1494302144382105,5,3.797263888888889
4,2.7831329545454544,1.8507312924696782,5,5.102784722222222
5,3.0221318144415967,1.1852474652438583,7,3.665972222222222
6,2.5079583333333337,0.8808604487797193,7,3.192263888888889
7,3.717481851481852,1.7523762125289073,7,3.568604166666667
8,3.8813601814851815,1.9197893990546102,7,3.4914375
9,5.111075431512932,2.9536175606246466,7,9.56475
10,3.873123180616852,2.345012099657625,7,8.025152777777778
11,3.080409422753173,1.107257797238677,6,2.1673076923076926
12,3.200430541680542,1.6537859040549594,7,1.8476736111111112
13,2.8899853271728273,1.6126581321682474,7,1.1812097902097902
14,2.365206453268953,0.9783081186591178,7,1.7420347222222223
15,3.0307970399166053,1.5405377650264573,7,1.3793840579710144
16,2.8072207584082585,2.049427261637929,7,1.1161874999999999
17,2.421702152014652,1.3049146230404345,7,0.8213402777777777
18,2.6517929292929296,0.8405510088366194,7,1.6330625
19,3.412133526196026,2.333075249777612,7,1.2956597222222221
20,2.755077380952381,1.7051535967916311,7,1.3376458333333334
21,3.1181539294039298,2.418274088546641,7,1.2565833333333334
22,2.4793669039294035,1.6220743959925785,7,1.1295694444444444
23,3.113850642413143,1.5804939061071064,7,1.582826388888889
24,2.053788537851038,0.758478921263238,7,1.6799166666666665
25,2.435439144189144,1.7203286478852708,7,1.2188402777777778
26,2.0812219030969032,0.8126201242791821,7,1.9833680555555557
27,2.639276785714286,1.4102362723392095,7,1.1808472222222222
28,3.927576631701631,3.4942472983844794,7,1.392125
29,3.311888548951049,2.147065645587279,7,1.7801874999999998
30,1.471231476856477,0.312499668037813,7,1.6505625000000002
31,2.0070765762015763,1.2662699262681218,7,1.6861736111111112
32,2.5994465256965253,1.1722523671137277,7,1.5500347222222224
33,1.8102857004107005,0.630375055041956,7,1.5146319444444445
34,2.312419642857143,1.0939410730798804,7,2.3554305555555555
35,2.232926615051615,1.234269696141464,7,1.6717222222222223
36,1.970560404872905,1.1106566033603567,7,1.2847499999999998
37,3.1902106920856923,2.3319493417899007,7,1.3109791666666668
38,2.566633369662419,1.3154271203597763,7,1.5184791666666666
39,2.176704143079143,1.3826335682819402,7,2.273173611111111
40,1.8653834915084917,0.8828749129117238,7,1.4194930555555556
41,2.626988095238095,2.5495467489867063,7,1.2911736111111112
