day_of_year,mean_air_temperature,std_air_temperature,mean_daily_max_air_temperature,std_daily_max_air_temperature
1,5.149383420745921,4.26682736226048,7.765600000000001,4.325966978607211
2,6.5298214646464645,3.353709800994895,9.154399999999999,4.067164651203587
3,6.218720979020979,3.1613317966942525,7.930199999999999,2.8288178096158823
4,5.315662597125097,4.698578057641137,7.5286,5.038481894380488
5,4.419936290159116,3.7292726619953274,6.169571428571429,3.9728532088472157
6,4.288892857142857,4.031448692494429,5.882857142857143,3.790667418303863
7,4.060300886613386,3.346355553472289,6.0045714285714284,3.1874582275507475
8,4.249121267621268,3.487754464573764,6.588,3.6618577252536726
9,4.890986069486069,3.6400581844212203,7.692857142857143,4.718474203545444
10,3.5194946445959103,2.691559143824685,4.904428571428572,3.009375065643079
11,3.2828463561901065,3.0442040810723077,4.737166666666666,3.1539823979639876
12,2.7135904304029306,2.7881143429873663,4.562571428571428,2.7841720407296946
13,3.2678468475968474,3.3972086423411256,5.047,3.3727727465692086
14,3.9987631604506606,3.4625199358512777,6.322857142857143,3.334424009659011
15,4.928482608575,2.3958563352884448,7.558999999999999,2.6201499957063525
16,3.591103993228993,2.101045290566398,5.5042857142857144,2.3471895047968694
17,4.486473970473971,1.7270843446181485,6.0277142857142865,1.7303247974764462
18,4.0920426448551455,2.0504704619514627,6.122285714285714,2.6621206280135463
19,1.921996121933622,1.8305148297486613,3.9765714285714284,2.110226753782861
20,2.0620525793650795,2.652653723214517,4.307285714285714,2.974188276616312
21,2.809780948218448,3.022616305998761,4.6977142857142855,2.9822154915591255
22,3.898666028416028,2.1415558119659606,5.908857142857143,2.3744750597813846
23,4.1023754925629925,2.7771308259757306,5.7744285714285715,2.950491645875472
24,4.549839133089132,2.9832492749906727,6.470285714285715,3.6113650103659194
25,5.029611832611833,3.6269746785163846,6.935142857142857,4.935313783626847
26,4.3588076645576646,3.0342828167504066,5.741,3.411706708770065
27,4.430059523809524,2.989501947836861,6.036142857142857,3.411183442178165
28,5.342709887334887,2.1130680238646264,7.698571428571428,3.1066322525173384
29,5.546334831834832,2.533613062295784,7.664571428571429,3.0589006662058
30,5.261780386280386,1.579508149093267,7.123571428571429,1.9710461568367579
31,5.579830912143413,1.5716521537246158,7.354857142857143,1.8067526512661167
32,5.7010637418137415,2.0473046519512006,7.312857142857142,1.8993028921660906
33,6.623320741758241,1.8603618649582367,8.626714285714286,2.6999265863035187
34,6.830074404761905,3.1305481336094045,8.552571428571428,3.3645125876389512
35,5.691176115551116,1.4752122850543397,8.955714285714285,3.6496533494879437
36,5.269583610833611,1.4073583712681625,7.174571428571428,1.670425779768226
37,4.871270056332556,1.7635661776214095,6.853000000000001,2.432656572556019
38,4.901157486586184,1.8035384178548792,7.1977142857142855,1.6807050816334708
39,4.683323939948941,2.208223667897343,6.674428571428571,2.189645546440706
40,5.532361888111888,2.4124935095430406,7.764,2.53367184141909
41,6.559634920634921,2.6384688741550804,9.28357142857143,2.9254480487122456
42,5.81351273032523,3.080244273165819,8.334,2.553978334546582
43,4.78360927960928,3.7469786181377547,6.405571428571428,3.937284802887343
44,4.711498217060717,3.837372377024125,6.727714285714286,4.424357720403634
45,5.039276785714286,3.3995820501235996,6.945428571428571,3.2122332759386607
46,4.845392364579864,1.9514360632849923,7.054142857142857,1.9666794713061768
47,6.618241008991008,2.099203417116048,9.444285714285714,2.197535416042687
48,7.638992063492062,2.553228526655464,10.184,3.588171354139413
49,7.09837348068598,2.189769659231893,9.869,3.1345315971183534
50,7.135574793262293,1.8031559336012748,9.26757142857143,2.527921007280017
51,7.211208236208236,0.6768632627744703,9.649714285714285,0.8626049142540504
52,7.275328366078367,0.5885568815399603,9.766,1.3029397530200693
53,7.2794836428191685,0.6982263323673434,9.418571428571429,1.0167829753923006
54,8.413869928682429,1.3528372151574508,10.815714285714288,2.072935576606737
55,8.634139034576535,1.366106830782019,11.195,2.1917093785445187
56,7.796389528295779,1.3114404088138796,10.181,1.5173602077291992
57,6.10001307026307,2.617749536979795,9.021857142857142,3.1803098606148126
58,5.547379127816629,2.935709424248458,8.072000000000001,2.8574715396657937
59,5.88380833980834,2.8957320326166243,8.355833333333333,2.548699544212041
60,6.18987088027713,2.626261212643817,8.823333333333332,3.662935635070138
61,6.208297874579125,1.8040654701174443,8.719333333333333,1.8542881832839968
62,6.370317460317461,1.5904271956517728,8.539857142857143,2.061615501540109
63,7.236013458763458,1.2976656044244788,10.691,1.9136327582201687
64,6.3730669839419845,1.692155191998646,8.7615,1.5508543129514134
65,6.274094655975339,1.936204918177268,8.961571428571428,1.723688666507853
66,6.472025703463203,2.1094321201594046,9.531285714285714,2.546158329345455
67,7.013236027861027,2.1498788328344047,10.317285714285715,2.5431250273554986
68,7.537170919358418,2.5905502333898025,10.773428571428571,2.5558277757015673
69,7.738825396825397,1.8615277443863996,10.20857142857143,1.6063564213402177
70,7.8583558386058385,1.8685380845616368,9.935857142857143,2.8199055793041157
71,8.532685092685094,0.9173582590800267,11.087142857142856,1.441431167112675
72,9.083092927905428,1.3131093581808657,12.209999999999999,2.859160716014405
73,7.171961566211566,1.6521948510377196,10.08357142857143,1.9616972122070604
74,6.8313109390609394,1.7536572823543868,9.151285714285715,2.579710882656279
75,7.3767322746697745,2.3071024013159476,10.011333333333333,2.318524243277751
76,8.398355158730158,2.38513307347884,12.114428571428572,3.5115363141671034
