day_of_year,mean_wind_speed,std_wind_speed
1,1.7070382770007768,0.5431347613168472
2,3.2475291375291375,2.203073748811319
3,1.9207962024087024,1.1494302144382105
4,2.7831329545454544,1.8507312924696782
5,3.0221318144415967,1.1852474652438583
6,2.5079583333333337,0.8808604487797193
7,3.717481851481852,1.7523762125289073
8,3.8813601814851815,1.9197893990546102
9,5.111075431512932,2.9536175606246466
10,3.873123180616852,2.345012099657625
11,3.080409422753173,1.107257797238677
12,3.200430541680542,1.6537859040549594
13,2.8899853271728273,1.6126581321682474
14,2.365206453268953,0.9783081186591178
15,3.0307970399166053,1.5405377650264573
16,2.8072207584082585,2.049427261637929
17,2.421702152014652,1.3049146230404345
18,2.6517929292929296,0.8405510088366194
19,3.412133526196026,2.333075249777612
20,2.755077380952381,1.7051535967916311
21,3.1181539294039298,2.418274088546641
22,2.4793669039294035,1.6220743959925785
23,3.113850642413143,1.5804939061071064
24,2.053788537851038,0.758478921263238
25,2.435439144189144,1.7203286478852708
26,2.0812219030969032,0.8126201242791821
27,2.639276785714286,1.4102362723392095
28,3.927576631701631,3.4942472983844794
29,3.311888548951049,2.147065645587279
30,1.471231476856477,0.312499668037813
31,2.0070765762015763,1.2662699262681218
32,2.5994465256965253,1.1722523671137277
33,1.8102857004107005,0.630375055041956
34,2.312419642857143,1.0939410730798804
35,2.232926615051615,1.234269696141464
36,1.970560404872905,1.1106566033603567
37,3.1902106920856923,2.3319493417899007
38,2.566633369662419,1.3154271203597763
39,2.176704143079143,1.3826335682819402
40,1.8653834915084917,0.8828749129117238
41,2.626988095238095,2.5495467489867063
42,3.6429737345987343,2.403636752789769
43,2.8113568584193587,2.2103575778561915
44,2.3140783313908315,1.3688546700692141
45,2.92387746975247,1.9251606780463661
46,1.9124234515484517,0.769089145526157
47,2.40876134976135,2.285898974814578
48,2.7746924603174605,1.9023002630948784
49,1.733036088911089,0.5803743570783616
50,2.2995618825618824,1.2847044930822695
51,1.4680425754800754,0.6653185117218005
52,2.182006368631369,2.052017848678895
53,1.7783484640359641,1.2286127378888945
54,1.2829436535686534,0.7172459161528899
55,2.091569444444444,1.4364783434939634
56,3.2065415857290858,1.6013701769719804
57,4.972699834887335,4.40031923406452
58,3.982740238927739,2.9225968819819212
59,3.187115918803419,1.7614354758400692
60,3.225034277065527,2.31741170046252
61,2.1453863555426054,1.4113372368158712
62,1.4746458333333334,0.7953021010723942
63,1.9065662254412257,0.8480348408965926
64,1.6555249044936546,0.5867761018848084
65,2.549958997441952,1.24462116193994
66,2.3983781357531355,1.9100635251371736
67,1.8112701881451883,0.6894649330688463
68,1.9845539044289044,1.135945535890918
69,2.6359355158730158,2.386994991083987
70,2.5414630369630373,1.2860043603555085
71,2.249859897047397,1.1778948245854264
72,3.376525203962704,2.4327556596926776
73,3.4354610667110665,1.8834032898925097
74,2.6835887376512377,1.6337398021658869
75,1.488357493201243,0.4166099212428173
76,2.705935515873016,1.7416951513408951
77,3.223612817737817,2.8714169450333205
78,2.128213841713842,1.541022130632266
79,2.0662339674214674,2.379274685544479
80,1.531547619047619,1.0438119292036823
81,2.5870067918192916,2.2206188915786664
82,2.058401841214341,1.0083089967934538
83,2.4826549518743666,1.5795641907133127
84,3.2361743466864867,1.2319779586833786
85,2.684117195304695,1.183777717351882
86,3.8032718253968256,2.0197035540085877
87,1.6132056415806415,0.768315919705677
88,3.177228146853147,2.0520916230115227
89,2.9915740717615718,1.3663192751581186
90,4.596101134976135,2.8144584780734734
91,4.065460976523476,2.442488341725919
92,2.917144758019758,1.6776272827802685
93,4.080230158730159,2.9633195550714007
94,2.814673618048618,2.1969874467368204
95,1.8555246836496837,0.5896962391199232
96,2.4025995115995116,1.6976576223984101
97,2.159113997113997,1.3204357092047234
98,2.2305035353535354,1.774794060038203
99,2.054594828782329,1.0066747258722377
100,2.1097116772116773,1.0940636834951967
101,2.1508453005328003,1.2832412774923214
102,1.9894980852480852,0.9965542130213821
103,2.3492859224109224,2.0678622697371476
104,2.4533464937839935,1.8784823927923804
105,3.0890812104562104,2.4583314666197094
106,3.003956997863248,2.302343973187375
107,3.4473391203703705,2.48227193748247
108,1.8977463578088578,0.8172068959585472
109,2.3408485958485956,0.7635380914542095
110,1.9476358363858364,0.6628251572716172
111,2.3271662642912645,0.7874620699491464
112,2.409886217948718,1.1015539543291406
113,3.252805247992748,2.181218753629328
114,2.5269074074074074,2.228821168045008
115,2.08078749028749,0.7478687958028029
116,2.0056537814037814,0.48099641959103884
117,1.7446287393162392,0.5729938594623579
118,1.7302146626521626,0.4163727057628845
119,2.175583063001813,0.8465338004265663
120,1.6153682636807638,0.6690664865917998
121,1.7032480158730157,0.5935158032640647
122,2.61771978021978,1.884043896417878
123,2.473841027028527,0.8671348155590505
124,2.223970238095238,1.2614032919766596
125,2.631972617660118,1.5701369548837265
126,3.5246638292263293,2.5032493232724824
127,3.159790542790543,1.59526032878249
128,2.2738690476190473,1.4087191993749408
129,2.30432698795727,1.4460360502251965
130,2.205946602009102,1.0582934730045606
131,2.261918754856255,1.2242566935183383
132,2.2591101259851256,1.2075122715610702
133,2.5637591852591854,0.9726439229090037
134,2.6255485139860144,1.820410766089767
135,2.8190158730158728,0.9227880132572016
136,3.252027453989544,1.8776111654623215
137,2.9944808688502507,2.4152415420645523
138,2.523107871295371,1.1772843692628463
139,2.1591612276612278,0.5663869885380002
140,2.5703209368878386,1.570268843389927
141,2.690731095293595,2.5749025815190474
142,1.9546607142857142,0.5680331210964946
143,2.1108801406926405,0.7313004602382902
144,2.8664693986568985,1.0988716981099327
145,2.788087176712177,1.3578022454023222
146,2.580008762071262,1.6917896900163718
147,2.498598124098124,1.6139888063954506
148,3.1497661158286157,1.7790217070516807
149,3.614785714285714,1.6323114034356168
150,3.0409206626706626,2.3037241467403167
151,2.3300024350649347,1.0188200441963344
152,2.1150679228179228,0.5937483086869065
153,2.32830647015022,0.7321390709643564
154,1.952647516835017,0.775540264776583
155,2.491081657925408,0.5424455737428366
156,2.125755952380952,0.5089872542170865
157,2.637570991508492,1.6500833264852235
158,2.459107767232767,0.550190689336125
159,2.2421840243090245,1.4549942081098695
160,2.2481484626484627,1.05881350813031
161,2.317614552114552,0.6744842671672577
162,1.7640679043179044,0.594146530938652
163,1.8898924825174823,0.8143124746171228
164,2.4499062534687535,1.0903951624732908
165,1.9106432525807528,0.684887055798747
166,1.9376103687978687,0.5671673326852213
167,2.578989961427461,1.5644919209120949
168,2.0135762640137638,0.7668074694487081
169,1.5094177916990417,0.308329569030843
170,2.100211805555556,0.5768188865066969
171,1.8913484154734153,0.5725895114445138
172,2.080277708402708,0.5893788253307507
173,2.568040952103452,0.5983192826241279
174,2.7163220390720393,0.7844763903758981
175,3.616277645965146,1.6775385834830745
176,2.1485779983904982,0.7133409199198802
177,2.059068487068487,0.4013456454441545
178,1.95538677988678,0.6067567051849283
179,2.248578706016206,0.6176349315168417
180,2.6872316433566437,1.0028639574253186
181,2.9927882534132535,0.9812938187619964
182,2.8255509663947165,1.2865995325374986
183,2.5093939491064488,1.2836510754141706
184,2.333461805555556,0.6863006478919244
