Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-07-15T10:05:00.000+00:00,S3A,2.40966,1.44768,9.97171,58,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160715T100522_sui_geneva.tif
2016-07-16T09:39:00.000+00:00,S3A,2.67118,2.10547,8.85593,79,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160716T093911_sui_geneva.tif
2016-07-18T10:27:00.000+00:00,S3A,3.05319,2.4279,8.77425,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160718T102748_sui_geneva.tif
2016-07-19T10:01:00.000+00:00,S3A,2.80271,2.19339,10.21784,86,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160719T100137_sui_geneva.tif
2016-07-20T09:35:00.000+00:00,S3A,2.78885,2.20217,8.73944,76,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160720T093526_sui_geneva.tif
2016-07-23T09:57:00.000+00:00,S3A,2.82767,2.45696,3.57505,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160723T095753_sui_geneva.tif
2016-07-24T09:31:00.000+00:00,S3A,2.83038,2.44467,3.74482,19,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160724T093142_sui_geneva.tif
2016-07-26T10:20:00.000+00:00,S3A,2.58531,2.19208,3.25847,25,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160726T102019_sui_geneva.tif
2016-07-27T09:54:00.000+00:00,S3A,2.6496,2.2016,7.4383,47,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160727T095409_sui_geneva.tif
2016-07-30T10:16:00.000+00:00,S3A,2.49679,2.28648,2.79423,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20160730T101635_sui_geneva.tif
